Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P52948|NUP98_HUMAN	sp|P52948|NUP98_HUMAN	20	20	20	sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4	1	20	20	20	11.1	11.1	11.1	197.58	1817	1817	0	158.07	427650	338280	277770	724510	355040	40057	37109	605780	310910	403130	758200	442460	565940	461380	64605	393200	319450	294160	697380	354170	85522	61722	582340	317800	421990	745280	450420	559470	440470	70423	23	23	23	23	23	17	21	23	23	23	23	23	23	23	23	1639000000	25				577	531;532;774;1545;1845;1851;2139;2249;2696;3311;3430;4187;4368;4945;4949;6183;7069;7073;7923;7924	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	547;548;795;1598;1909;1915;2218;2330;2791;3424;3544;4329;4513;5113;5117;6439;7358;7362;8242;8243	863;864;1234;2655;2656;3077;3086;3602;3765;4451;4452;5434;5641;5642;6884;7138;8032;8037;8038;10245;11631;11635;11636;12983;12984	1145;1146;1614;3481;3482;4025;4036;4705;4880;5763;5764;7069;7405;7406;9185;9527;10688;10694;10695;13626;15358;15362;15363;17016;17017	1145;1146;1614;3482;4025;4036;4705;4880;5764;7069;7405;9185;9527;10688;10695;13626;15358;15363;17016;17017		
sp|P53007|TXTP_HUMAN	sp|P53007|TXTP_HUMAN	3	3	3	sp|P53007|TXTP_HUMAN Tricarboxylate transport protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A1 PE=1 SV=2	1	3	3	3	9	9	9	34.012	311	311	0	18.562	80912	79512	67846	75921	69968	14831	10282	93596	48166	65162	87172	52541	61603	70514	15872	74501	73984	69719	76581	70816	20723	14628	90489	48424	67267	86136	54727	61464	67064	15977	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	117360000	3				578	3065;5467;7903	True;True;True	3167;5670;8222	5020;8918;12962	6459;11840;16993	6459;11840;16993		
sp|P53350|PLK1_HUMAN	sp|P53350|PLK1_HUMAN	3	3	2	sp|P53350|PLK1_HUMAN Serine/threonine-protein kinase PLK1 OS=Homo sapiens OX=9606 GN=PLK1 PE=1 SV=1	1	3	3	2	6	6	4.6	68.254	603	603	0	19.802	10691	10844	9296.9	11932	10693	2625.7	1832.1	15359	7229.3	9154.8	12795	7147.9	9611.2	8116.9	2735.5	9846.5	10113	9535.2	11922	10745	3539.1	2469.3	14802	7281.8	9517.7	12668	7391.1	9575.7	7738.9	2736.2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	15212000	2				579	4623;4684;6678	True;True;True	4780;4843	7549;7629	10091;10185	10091;10185		
sp|P53618|COPB_HUMAN	sp|P53618|COPB_HUMAN	3	3	3	sp|P53618|COPB_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3	1	3	3	3	4.2	4.2	4.2	107.14	953	953	0	19.51	42806	36257	41390	53227	26794	5903.9	7455.6	49540	27393	40710	52711	31405	28933	22656	13054	39451	33956	41806	52147	28370	9950.5	9118.4	48037	27603	41423	51784	31902	29504	21799	12772	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	65618000	3				580	4163;5927;7809	True;True;True	4305;6175;8124	6844;9781;12804	9130;12995;16793	9130;12995;16793		
sp|P53621|COPA_HUMAN	sp|P53621|COPA_HUMAN	13	13	13	sp|P53621|COPA_HUMAN Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2	1	13	13	13	12.5	12.5	12.5	138.34	1224	1224	0	92.597	208580	212700	193840	231710	202240	59881	41242	305130	116320	187800	246550	142630	158390	162040	62599	192190	198400	197390	231870	204700	77067	52305	294670	118830	194650	242420	147640	159750	154500	61572	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	370780000	16				581	778;968;2250;2800;4300;4815;5406;5726;6049;6549;8493;8715;8716	True;True;True;True;True;True;True;True;True;True;True;True;True	799;997;2331;2897;4444;4980;5597;5957;6302;6819;8834;9066;9067	1238;1548;3766;4639;7038;7849;8816;9418;10012;10805;13921;14290;14291	1618;2033;4881;5990;9399;10468;10469;10470;11717;12532;13303;14328;18321;18803;18804;18805	1618;2033;4881;5990;9399;10469;11717;12532;13303;14328;18321;18803;18804		
sp|P53680|AP2S1_HUMAN	sp|P53680|AP2S1_HUMAN	4	4	4	sp|P53680|AP2S1_HUMAN AP-2 complex subunit sigma OS=Homo sapiens OX=9606 GN=AP2S1 PE=1 SV=2	1	4	4	4	20.4	20.4	20.4	17.018	142	142	0	25.555	61797	86824	61563	70832	56903	24233	18434	110910	35158	70381	95338	45679	44353	73083	27537	56968	80696	62250	72630	58275	29503	21101	107280	36674	72607	92851	48542	46034	69360	26657	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	257240000	5				582	3288;6193;8851;8852	True;True;True;True	3400;6449;9206;9207	5403;10259;14485;14486;14487	7019;13641;19051;19052;19053	7019;13641;19051;19053		
sp|P53814|SMTN_HUMAN	sp|P53814|SMTN_HUMAN	6	6	6	sp|P53814|SMTN_HUMAN Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7	1	6	6	6	7	7	7	99.058	917	917	0	40.845	105840	215830	133350	152150	212110	62439	37891	224700	76700	146060	125680	134410	102090	78590	85516	97773	200320	133590	158380	209070	72619	48519	218230	78104	151410	125140	134870	104000	76053	82140	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	228900000	6				583	16;2128;2158;2937;4095;6690	True;True;True;True;True;True	16;2207;2237;3037;4231;6961	27;3585;3628;4819;6710;10979	31;4688;4736;6210;8945;14535	31;4688;4736;6210;8945;14535		
sp|P53985|MOT1_HUMAN	sp|P53985|MOT1_HUMAN	2	2	2	sp|P53985|MOT1_HUMAN Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3	1	2	2	2	6.4	6.4	6.4	53.944	500	500	0	18.566	81899	64141	68280	75018	44297	11739	10419	89851	47043	60141	85300	51321	62174	48369	15597	75404	59847	69891	74545	46882	17699	13361	86655	47322	62196	84339	52443	61928	46267	15728	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	124620000	2				584	1188;2106	True;True	1221;2185	1945;3557	2542;4657	2542;4657		
sp|P53999|TCP4_HUMAN	sp|P53999|TCP4_HUMAN	2	2	2	sp|P53999|TCP4_HUMAN Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3	1	2	2	2	18.9	18.9	18.9	14.395	127	127	0	14.029	38439	25473	30719	40266	19662	12333	13799	55255	22633	27689	59914	29121	29694	25264	15772	35381	23948	31593	39499	21052	15187	14438	53216	23676	29451	58424	29467	30572	24204	15341	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	41790000	2				585	2046;2797	True;True	2123;2894	3463;4635	4528;5986	4528;5986		
sp|P54136|SYRC_HUMAN	sp|P54136|SYRC_HUMAN	6	6	6	sp|P54136|SYRC_HUMAN Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2	1	6	6	6	8.9	8.9	8.9	75.378	660	660	0	39.926	142450	114590	115060	113820	77958	17515	13592	138590	94542	102950	145760	78137	95770	90550	22588	131130	106650	118170	114360	82025	26687	19428	133990	93699	105520	144370	80941	95794	86307	22880	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	170870000	7				586	2672;4373;5006;7067;7344;8368	True;True;True;True;True;True	2765;4518;5178;7356;7643;8703	4415;7143;8154;8155;11628;12030;13693	5724;9532;10853;10854;15355;15854;17969	5724;9532;10854;15355;15854;17969		
sp|P54652|HSP72_HUMAN	sp|P54652|HSP72_HUMAN	15	4	4	sp|P54652|HSP72_HUMAN Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1	1	15	4	4	25.2	9.9	9.9	70.02	639	639	0	22.966	60399	61068	43132	86902	36746	17548	17092	83592	45020	47613	62117	33272	50823	37930	20107	55560	57211	44992	85458	38066	23559	18978	80680	45082	49469	62067	34572	50724	36163	19772	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	64448000	4				587	721;986;2314;3511;3512;3779;3971;4672;4847;5320;5807;5890;7323;8005;8613	False;True;False;False;False;False;True;False;False;True;True;False;False;False;False	743;1015;2396;3627;3628;3902;4103;4830;5012;5501;6045;6135;7622;8330;8962	1164;1574;3862;3863;5787;5788;5789;6201;6530;7612;7613;7889;8681;9547;9710;12001;13140;13141;14136	1525;2064;5004;5005;7616;7617;7618;7619;7620;7621;8186;8665;10166;10167;10516;10517;11558;12683;12895;15821;17202;17203;18607	1525;2064;5005;7617;7621;8186;8665;10167;10516;11558;12683;12895;15821;17202;18607		
sp|P55060|XPO2_HUMAN	sp|P55060|XPO2_HUMAN	1	1	1	sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3	1	1	1	1	1	1	1	110.42	971	971	0.0025997	6.3933	17958	15794	15892	19137	15088	2179.4	1481.4	26923	15110	17591	22747	13615	14731	11912	3327.1	16541	14740	16231	18960	15351	3869.1	2601.5	25874	14921	18144	22538	13925	14738	11412	3380.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25367000	1				588	1178	True	1211	1931	2523	2523		
sp|P55072|TERA_HUMAN	sp|P55072|TERA_HUMAN	2	2	2	sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	1	2	2	2	2.7	2.7	2.7	89.321	806	806	0	12.672	15262	18529	16804	27070	16493	5412.5	3854.1	29428	12423	16015	19137	14328	19728	12871	6010.7	14080	17368	16868	26586	16774	7374.9	4793.8	28334	12525	16816	19179	14592	19445	12323	5986.4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	26233000	2				589	4457;4504	True;True	4608;4657	7287;7362	9716;9821	9716;9821		
sp|P55084|ECHB_HUMAN	sp|P55084|ECHB_HUMAN	12	12	12	sp|P55084|ECHB_HUMAN Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3	1	12	12	12	23.6	23.6	23.6	51.294	474	474	0	86.901	425440	443220	391690	560420	301790	109930	89062	858740	277650	357380	570480	287360	380080	225870	155830	391970	414260	397920	554920	313990	157220	106400	819930	282560	381760	561690	292550	382930	216880	153030	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	692420000	16				590	63;72;641;1061;1199;1290;1462;3892;4523;5929;7869;8289	True;True;True;True;True;True;True;True;True;True;True;True	63;74;660;1092;1232;1329;1509;4019;4676;6177;8186;8621	95;109;1031;1712;1958;2153;2154;2425;2426;6393;7386;9783;12896;12897;13580	123;137;1351;2236;2555;2828;2829;3163;3164;8433;9850;12997;12998;16905;16906;17840	123;137;1351;2236;2555;2829;3164;8433;9850;12998;16906;17840		
sp|P55209|NP1L1_HUMAN;sp|Q99733|NP1L4_HUMAN	sp|P55209|NP1L1_HUMAN	7;1	7;1	6;1	sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1	2	7	7	6	29.9	29.9	22	45.374	391	391;375	0	96.871	425050	172690	229330	354050	154270	42101	31381	383610	200800	257780	577080	155890	279280	302540	38384	390480	163050	247120	341960	162970	69897	43088	369570	206470	264800	561290	168540	282870	286550	40923	12	12	12	12	12	11	12	12	12	12	12	12	12	12	12	856420000	12				591	135;2536;2791;4437;5897;6217;8882	True;True;True;True;True;True;True	2627;2888;4586;6142;6473;6474;9237	4221;4627;4628;7246;7247;9719;9720;10294;10295;14530	5475;5977;5978;9651;9652;9653;12904;12905;13695;13696;13697;19097	5475;5978;9651;12904;13697;19097	240;241	42;43
sp|P55265|DSRAD_HUMAN	sp|P55265|DSRAD_HUMAN	6	6	6	sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	1	6	6	6	5.9	5.9	5.9	136.06	1226	1226	0	38.174	107700	108730	97648	113550	95069	30705	23339	157770	60056	89532	105240	72250	96965	76025	31349	99219	101360	99577	114000	96824	39233	28374	152070	61137	93461	104790	74352	96015	72576	31124	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	93153000	7				592	574;5230;6026;7487;8451;9020	True;True;True;True;True;True	592;5408;6275;7787;8791;9378	930;8551;9940;12255;13860;14737	1223;1224;11394;13199;16122;18236;19347	1223;11394;13199;16122;18236;19347		
sp|P55735|SEC13_HUMAN	sp|P55735|SEC13_HUMAN	4	4	4	sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3	1	4	4	4	20.8	20.8	20.8	35.54	322	322	0	44.271	105400	60576	84173	131620	52272	20792	18591	167810	66188	81558	164440	56649	97517	32003	34534	97017	57325	86509	127000	55703	31353	21857	160640	67963	85452	160930	57461	98567	31003	34145	4	4	4	4	3	4	3	4	4	4	4	4	4	3	4	159570000	4				593	2954;4472;5298;8664	True;True;True;True	3054;4624;5479;9014	4844;7308;8651;14210	6237;9739;11517;18710	6237;9739;11517;18710		
sp|P55786|PSA_HUMAN	sp|P55786|PSA_HUMAN	2	2	2	sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2	1	2	2	2	3.6	3.6	3.6	103.28	919	919	0	13.28	10642	11905	12250	12499	10929	3456.1	1750.9	16206	9199.2	10816	12523	9244.6	10812	9596.3	3208.9	9821.5	11099	12242	12545	11181	4359.6	2464.2	15697	9124.4	11196	12529	9485.2	10719	9162.9	3201.2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	21523000	2				594	4638;7913	True;True	4795;8232	7569;12973	10113;17004	10113;17004		
sp|P55795|HNRH2_HUMAN	sp|P55795|HNRH2_HUMAN	6	2	2	sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1	1	6	2	2	17.8	6.7	6.7	49.263	449	449	0	19.007	60283	61684	51639	59145	48972	15616	9980.8	74204	40571	50294	59697	36416	45472	40624	16591	55513	57426	52911	59734	49947	19901	12986	71886	40438	51728	59422	37731	45450	38744	16375	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	94459000	3				595	1707;3280;7137;7339;7691;8319	True;False;True;False;False;False	1764;3392;7431;7638;8000;8651	2871;2872;5395;11759;12023;12024;12621;13620;13621	3722;3723;7010;15536;15845;15846;15847;16570;17886;17887	3722;7010;15536;15846;16570;17886		
sp|Q6EEV6|SUMO4_HUMAN;sp|P61956|SUMO2_HUMAN;sp|P55854|SUMO3_HUMAN	sp|Q6EEV6|SUMO4_HUMAN;sp|P61956|SUMO2_HUMAN;sp|P55854|SUMO3_HUMAN	1;1;1	1;1;1	1;1;1	sp|Q6EEV6|SUMO4_HUMAN Small ubiquitin-related modifier 4 OS=Homo sapiens OX=9606 GN=SUMO4 PE=1 SV=2;sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3;sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3	3	1	1	1	12.6	12.6	12.6	10.685	95	95;95;103	0.00099108	7.761	17102	15581	15551	19216	16574	1996.6	3934.8	20516	12420	13377	24740	13063	15323	16152	3003.9	15756	14545	15872	19008	16765	3540.1	4872.3	19743	12599	13964	24326	13457	15342	15379	3087.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17957000	1				596	8118	True	8444	13302	17426	17426		
sp|P55884|EIF3B_HUMAN	sp|P55884|EIF3B_HUMAN	1	1	1	sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3	1	1	1	1	1.5	1.5	1.5	92.48	814	814	0.0083403	6.1067	11980	8000.4	10375	14600	3661.7	1687.7	1634.8	16828	7481.5	8838.2	14767	8506.8	11351	4420.4	3133.4	11033	7529.9	10545	14166	4257.6	2867.9	1924.3	16116	7569.4	9304.2	14592	8501	11293	4294	3140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7810100	1				597	1305	True	1344	2171	2847	2847		
sp|P56134|ATPK_HUMAN	sp|P56134|ATPK_HUMAN	1	1	1	sp|P56134|ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3	1	1	1	1	13.8	13.8	13.8	10.918	94	94	0.0010764	10.564	43042	56513	38875	47412	27558	10154	6561.6	40135	24575	52151	85451	32701	28579	39794	10749	39650	52501	39527	48332	28878	13319	8276.5	39892	25696	51905	82545	34224	30103	37904	10607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45450000	1				598	1067	True	1098	1736	2269	2269		
sp|P56192|SYMC_HUMAN	sp|P56192|SYMC_HUMAN	2	2	2	sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2	1	2	2	2	3	3	3	101.11	900	900	0	14.408	17276	16000	16086	16651	16825	5000.5	3554	19519	12436	16374	20432	10634	16745	13296	5293.2	15918	14918	16379	16729	17030	6120.6	4534.2	19071	12511	16604	20311	11132	16648	12659	5262.3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	33398000	2				599	3790;7800	True;True	3915;8113	6221;12789	8208;16774	8208;16774		
sp|P56385|ATP5I_HUMAN	sp|P56385|ATP5I_HUMAN	1	1	1	sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2	1	1	1	1	14.5	14.5	14.5	7.9331	69	69	0.00094073	7.2459	88290	82687	85059	89248	76740	13536	8023.5	119250	62614	73329	92018	65685	80827	64761	18160	81370	77050	86183	89154	78384	20991	13320	114650	62159	76400	91876	67139	79810	61893	18452	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	158710000	2				600	1830	True	1894	3052;3053	3996;3997	3997		
sp|P57678|GEMI4_HUMAN	sp|P57678|GEMI4_HUMAN	3	3	3	sp|P57678|GEMI4_HUMAN Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=2	1	3	3	3	3.7	3.7	3.7	120.04	1058	1058	0	18.611	27188	41455	27019	31090	27270	6843.6	5032.1	32462	18026	31807	27752	23833	20229	25982	7944.9	25063	38463	27346	32024	27653	9067.9	6624	31812	18033	32152	27565	24621	20284	24790	7815.6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	23365000	3				601	461;1417;4798	True;True;True	471;1462;4963	697;2354;7827	877;3078;10443	877;3078;10443		
sp|P57740|NU107_HUMAN	sp|P57740|NU107_HUMAN	18	18	18	sp|P57740|NU107_HUMAN Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1	1	18	18	18	25	25	25	106.37	925	925	0	187.63	583020	478140	438950	960600	470080	47941	51101	831700	462790	544710	1003300	570880	720980	588060	72577	536480	450700	456130	926710	474280	114760	84530	798770	468130	569370	987480	581630	713520	561550	80583	28	28	28	28	28	24	26	28	28	28	28	28	28	28	28	1585100000	28				602	95;414;844;1039;1471;1637;2397;2766;3383;3709;5331;5459;6865;7440;8077;8251;8461;8523	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	96;425;867;1070;1520;1693;2481;2863;3497;3832;5512;5660;7143;7741;8403;8582;8801;8869	139;140;625;1339;1660;2478;2479;2784;2785;4003;4594;4595;5579;6107;8693;8903;11276;12180;13248;13249;13525;13873;13988;13989	175;176;771;1752;2161;3237;3238;3624;3625;5195;5941;5942;7326;7327;8065;8066;11570;11821;14902;16025;16026;17348;17349;17768;17769;18252;18419;18420	176;771;1752;2161;3237;3625;5195;5941;7327;8066;11570;11821;14902;16026;17349;17769;18252;18420		
sp|P59998|ARPC4_HUMAN	sp|P59998|ARPC4_HUMAN	6	6	6	sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3	1	6	6	6	35.1	35.1	35.1	19.667	168	168	0	49.409	270440	314960	227060	300900	384360	110930	68220	533920	146720	279830	350470	184940	197950	173800	134430	249030	293420	235170	304820	378000	134110	87741	513990	151790	291680	343200	191060	203600	166270	129800	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	660510000	9				603	220;1907;3243;3801;7526;8450	True;True;True;True;True;True	224;1974;3352;3926;7827;8790	347;3197;3198;5313;6239;6240;12306;13859	425;4191;4192;6874;8226;8227;8228;16187;18235	425;4191;6874;8227;16187;18235		
sp|P60174|TPIS_HUMAN	sp|P60174|TPIS_HUMAN	1	1	1	sp|P60174|TPIS_HUMAN Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3	1	1	1	1	5.2	5.2	5.2	30.791	286	286	0.0010101	7.9696	9715.8	11476	8483.1	13637	10689	1371.4	1816.7	12684	7339.4	10159	9965.4	7706.5	9478	9920.9	2946.1	8948.5	10705	8708.7	13518	10678	2424.5	2454	12282	7315.1	10380	9999.1	8026.2	9370.3	9441.2	2931.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11650000	1				604	8754	True	9106	14342	18870	18870		
sp|P60468|SC61B_HUMAN	sp|P60468|SC61B_HUMAN	1	1	1	sp|P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2	1	1	1	1	7.3	7.3	7.3	9.9743	96	96	0.0083264	6.0985	32052	25288	27629	26259	25430	3357.3	2305.7	32832	22822	24427	31506	24426	20401	22730	5144.3	29517	23546	28276	26285	25934	5549.8	4140.1	31707	22450	25275	31297	24811	20438	21746	5186.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	106980000	1				605	40	True	41	58	64	64		
sp|P60660|MYL6_HUMAN	sp|P60660|MYL6_HUMAN	10	8	8	sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2	1	10	8	8	64.2	48.3	48.3	16.93	151	151	0	154.95	4118000	4547400	3302400	4762500	5706900	1288200	811900	7097600	1997200	4230500	5246300	2303100	2863500	2696800	1740200	3790800	4239400	3436600	4780900	5603100	1654300	1109300	6842200	2073800	4350600	5125100	2425900	2941200	2570300	1685400	142	142	142	142	142	138	139	142	142	142	142	142	142	142	142	82874000000	144				606	491;957;1287;1487;3298;3625;5657;6734;8417;8444	False;True;True;True;True;False;True;True;True;True	507;986;1326;1539;3410;3743;5883;7005;7006;8756;8757;8784	797;798;799;800;801;802;803;1531;2144;2145;2146;2147;2148;2149;2150;2546;2547;2548;2549;5414;5415;5416;5417;5418;5419;5956;9261;9262;9263;9264;9265;9266;9267;9268;9269;9270;9271;9272;9273;9274;11048;11049;11050;11051;11052;11053;11054;11055;11056;11057;11058;11059;11060;13775;13776;13777;13778;13779;13780;13781;13782;13783;13784;13785;13786;13787;13788;13789;13790;13791;13792;13793;13794;13795;13796;13797;13798;13799;13851;13852	1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;2011;2817;2818;2819;2820;2821;2822;2823;2824;2825;3335;3336;3337;3338;3339;3340;3341;3342;3343;3344;7033;7034;7035;7036;7037;7038;7039;7040;7041;7042;7043;7044;7045;7046;7047;7048;7049;7842;12275;12276;12277;12278;12279;12280;12281;12282;12283;12284;12285;12286;12287;12288;12289;12290;12291;12292;12293;12294;12295;12296;12297;12298;12299;12300;12301;12302;12303;12304;12305;14634;14635;14636;14637;14638;14639;14640;14641;14642;14643;14644;14645;14646;14647;14648;14649;14650;14651;14652;14653;14654;14655;18100;18101;18102;18103;18104;18105;18106;18107;18108;18109;18110;18111;18112;18113;18114;18115;18116;18117;18118;18119;18120;18121;18122;18123;18124;18125;18126;18127;18128;18129;18130;18131;18132;18133;18134;18135;18136;18137;18138;18139;18140;18141;18142;18143;18144;18145;18146;18147;18148;18149;18224;18225;18226;18227	1048;2011;2818;3339;7040;7842;12287;14641;18110;18225	242;243	60;73
